C2,JARM HASH
AsyncRAT,1dd40d40d00040d1dc1dd40d1dd40d3df2d6a0c2caaa0dc59908f0d3602943
Brute Ratel C4,3fd21b20d00000021c43d21b21b43de0a012c76cf078b8d06f4620c2286f5e
Cobalt Strike (Java 11),07d14d16d21d21d07c42d41d00041d24a458a375eef0c576d23a7bab9a9fb1
Cobalt Strike,2ad2ad16d2ad2ad00042d42d00042ddb04deffa1705e2edc44cae1ed24a4da
Cobalt Strike,27d3ed3ed0003ed1dc27d3ed27d3ed5fb4c89fe3813d172ffb53f84a68f750
Cobalt Strike,40d40d40d3fd40d1dc40d40d40d40d2b66a312d81ed1efa0f55830f7490cb2
Cobalt Strike,3fd3fd0003fd3fd00042d42d000000301510f56407964db9434a9bb0d4ee4a
Cobalt Strike,00014d16d21d21d00042d41d00041df1e57cd0b3bf64d18696fb4fce056610
Cobalt Strike,00014d16d21d21d07c42d41d00041d47e4e0ae17960b2a5b4fd6107fbb0926
Cobalt Strike,05d02d16d04d04d05c05d02d05d04d4606ef7946105f20b303b9a05200e829
Cobalt Strike,05d02d20d21d20d05c05d02d05d20dd7fc4c7c6ef19b77a4ca0787979cdc13
Cobalt Strike,05d13d20d21d20d05c05d13d05d20dd7fc4c7c6ef19b77a4ca0787979cdc13
Cobalt Strike,07d00016d21d21d00042d41d00041df1e57cd0b3bf64d18696fb4fce056610
Cobalt Strike,07d0bd0fd06d06d07c07d0bd07d06d9b2f5869a6985368a9dec764186a9175
Cobalt Strike,07d0bd0fd21d21d07c07d0bd07d21d9b2f5869a6985368a9dec764186a9175
Cobalt Strike,07d13d15d21d21d07c07d13d07d21dd7fc4c7c6ef19b77a4ca0787979cdc13
Cobalt Strike,07d14d16d21d21d00007d14d07d21d3fe87b802002478c27f1c0da514dbf80
Cobalt Strike,07d14d16d21d21d00042d41d00041d47e4e0ae17960b2a5b4fd6107fbb0926
Cobalt Strike,07d14d16d21d21d00042d41d00041de5fb3038104f457d92ba02e9311512c2
Cobalt Strike,07d14d16d21d21d07c07d14d07d21d4606ef7946105f20b303b9a05200e829
Cobalt Strike,07d14d16d21d21d07c07d14d07d21d9b2f5869a6985368a9dec764186a9175
Cobalt Strike,07d14d16d21d21d07c07d14d07d21dee4eea372f163361c2623582546d06f8
Cobalt Strike,07d14d16d21d21d07c42d41d00041d24a458a375eef0c576d23a7bab9a9fb1
Cobalt Strike,07d14d16d21d21d07c42d41d00041d58c7162162b6a603d3d90a2b76865b53
Cobalt Strike,07d14d16d21d21d07c42d43d00041d24a458a375eef0c576d23a7bab9a9fb1
Cobalt Strike,07d19d1ad21d21d00007d19d07d21d25f4195751c61467fa54caf42f4e2e61
Cobalt Strike,15d15d15d3fd15d00042d42d00042d1279af56d3d287bbc5d38e226153ba9e
Cobalt Strike,15d3fd16d21d21d00042d43d000000fe02290512647416dcf0a400ccbc0b6b
Cobalt Strike,15d3fd16d29d29d00015d3fd15d29d1f9d8d2d24bf6c1a8572e99c89f1f5f0
Cobalt Strike,15d3fd16d29d29d00042d43d000000ed1cf37c9a169b41886e27ba8fad60b0
Cobalt Strike,15d3fd16d29d29d00042d43d000000fbc10435df141b3459e26f69e76d5947
Cobalt Strike,15d3fd16d29d29d00042d43d000000fe02290512647416dcf0a400ccbc0b6b
Cobalt Strike,16d16d16d00000022c43d43d00043d370cd49656587484eb806b90846875a0
Cobalt Strike,1dd28d28d00028d00042d41d00041df1e57cd0b3bf64d18696fb4fce056610
Cobalt Strike,1dd28d28d00028d1dc1dd28d1dd28d3fe87b802002478c27f1c0da514dbf80
Cobalt Strike,21b10b00021b21b21b21b10b21b21b3b0d229d76f2fd7cb8e23bb87da38a20
Cobalt Strike,21d10d00021d21d21c21d10d21d21d696c1bb221f80034f540b6754152d3b8
Cobalt Strike,21d19d00021d21d21c42d43d000000624c0617d7b1f32125cdb5240cd23ec9
Cobalt Strike,29d29d00029d29d00029d29d29d29de1a3c0d7ca6ad8388057924be83dfc6a
Cobalt Strike,29d29d00029d29d08c29d29d29d29dcd113334714fbefb4b0aba4000bcef62
Cobalt Strike,29d29d00029d29d21c29d29d29d29dce7a321e4956e8298ba917e9f2c22849
Cobalt Strike,29d29d15d29d29d21c29d29d29d29d7329fbe92d446436f2394e041278b8b2
Cobalt Strike,2ad00016d2ad2ad22c42d42d00042ddb04deffa1705e2edc44cae1ed24a4da
Cobalt Strike,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a
Cobalt Strike,2ad2ad0002ad2ad00042d42d000000301510f56407964db9434a9bb0d4ee4a
Cobalt Strike,2ad2ad0002ad2ad00042d42d0000005d86ccb1a0567e012264097a0315d7a7
Cobalt Strike,2ad2ad0002ad2ad22c2ad2ad2ad2ad6a7bd8f51d54bfc07e1cd34e5ca50bb3
Cobalt Strike,2ad2ad0002ad2ad22c2ad2ad2ad2adce7a321e4956e8298ba917e9f2c22849
Cobalt Strike,2ad2ad16d2ad2ad22c42d42d00042d58c7162162b6a603d3d90a2b76865b53
Cobalt Strike,2ad2ad16d2ad2ad22c42d42d00042de4f6cde49b80ad1e14c340f9e47ccd3a
Cobalt Strike,3fd3fd15d3fd3fd00042d42d00000061256d32ed7779c14686ad100544dc8d
Cobalt Strike,3fd3fd15d3fd3fd21c3fd3fd3fd3fdc110bab2c0a19e5d4e587c17ce497b15
Cobalt Strike,3fd3fd15d3fd3fd21c42d42d0000006f254909a73bf62f6b28507e9fb451b5
Cobalt Strike,07d14d16d21d21d00042d43d00041de5fb3038104f457d92ba02e9311512c2
Cobalt Strike,27d3ed3ed0003ed1dc42d43d00041d6183ff1bfae51ebd88d70384363d525c
Cobalt Strike (03-03-2023 observed with SmokeLoader),29d3dd00029d29d21c42d43d00041d44609a5a9a88e797f466e878a82e8365
Cobalt Strike (TLS1.0/TLS1.1),07d14d16d21d21d07c42d41d00041d24a458a375eef0c576d23a7bab9a9fb1
Cobalt Strike (TLS1.2/TLS1.3),07d14d16d21d21d00042d41d00041de5fb3038104f457d92ba02e9311512c2
Covenant (ASP.net core),21d14d00000000021c21d14d21d21d1ee8ae98bf3ef941e91529a93ac62b8b
Deimos,1bd1bd1bd0001bd00041d1bd1bd41db0fe6e6bbf8c4edda78e3ec2bfb55687
Deimos (go 1.15.2 linux/amd64 with github.com/gorilla/websocket package),00000000000000000041d00000041d9535d5979f591ae8e547c5e5743e5b64
emp3r0r,40d1db40d0000001dc43d1db1db43de0a012c76cf078b8d06f4620c2286f5e
Empire,22d22d00022d22d00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb
Empire,0ad0ad0000ad0ad22c42d42d000000088658245da669bb571fc2a62dd80912
EvilGinx2 (go 1.10.4 linux/amd64),20d14d20d21d20d20c20d14d20d20daddf8a68a1444c74b6dbe09910a511e6
Get2,07d19d12d21d21d07c07d19d07d21da5a8ab90bcc6bf8bbc6fbec4bcaa8219
GRATS C2,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb
Link,3fd3fd15d3fd3fd0003fd3fd3fd3fdc821ba2da5961bed79f7bc8b1ab89dd1
MacC2 (python 3.8.6 w/aiohttp 3),2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb
MacC2 (python 3.8.6 w/aiohttp 3) / PoshC2 (python3 http.server)),2ad2ad0002ad2ad22c42d42d000000faabb8fd156aa8b4d8a37853e1063261
MacShell (python 3.8.6 socket),2ad000000000000000000000000000eeebf944d0b023a00f510f06a29b4f46
MacShellSwift (python 3.8.6 socket),2ad000000000000000000000000000eeebf944d0b023a00f510f06a29b4f46
Merlin (go 1.15.2 linux/amd64),29d21b20d29d29d21c41d21b21b41d494e0df9532e75299f15ba73156cee38
Metasploit ssl listener (ruby 2.7.0p0),07d14d16d21d21d00042d43d000000aa99ce74e2c6d013c745aa52b5cc042d
Metasploit ssl listener (ruby),07d14d16d21d21d07c42d43d000000f50d155305214cf247147c43c0f1a823
Mythic (python 3 w/aiohttp 3) / MacC2 (python 3.8.2 w/aiohttp 3) / Shad0w (python 3.8 flask) / GRAT2 C2 (python3 http.server) / SILENTRINITY (ironpython) / Ninja,2ad2ad0002ad2ad00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb
SCYTHE,2ad2ad16d2ad2ad22c42d42d0000006f254909a73bf62f6b28507e9fb451b5
Sliver (go 1.15.2 linux/amd64),2ad2ad0002ad2ad00041d2ad2ad41da5207249a18099be84ef3c8811adc883
Sliver (https),3fd21b20d00000021c43d21b21b43d41226dd5dfc615dd4a96265559485910
Sliver (mtls),00000000000000000043d43d00043de2a97eabb398317329f027c66e4c1b01
Trickbot,22b22b09b22b22b22b22b22b22b22b352842cd5d6b0278445702035e06875c
